"","91-04-A132","93-05-6301 SN2","93-05-6301 SP3","93-10-3403 SP3","94-03-1902 SN2","94-04-1903 SP1","94-09-2902 SP1","94-10-P003 SP1","94-11-P036","94-11-V046","95-01-P045","95-04-P093","95-05-G051 SN1","95-05-G051 SP1","95-06-P073","95-07-P004","95-08-P243","95-08-P248","95-08-P250","95-08-P271","95-08-P284","95-08-P358","95-08-P418","95-09-P067","95-09-P113","95-10-P864 SP1","95-11-P018 SP2","95-11-P306 SP1","95-12-A091","95-12-P310 SN1","96-02-P012 SP1","96-02-P046","96-02-P050 SP1","96-02-P067 SP3","96-02-P402 SP1","96-04-P009 SP5","96-04-P017 SP1","96-04-P029 SP1","96-04-P033 SP1","96-06-G032 SP1"
"DDX4",12.46916,11.97162,7.02088,6.90346,11.92314,13.37308,5.90842,12.39336,13.9578,10.90034,12.0274,13.52746,12.4221,12.72168,10.19392,10.54574,6.36564,10.7624,11.30636,14.14718,8.67986,13.4227,7.64778,10.94328,11.40724,13.17284,4.14702,13.9933,12.9182,11.94456,6.25512,14.09572,13.35642,9.38866,14.9698,6.52176,10.36094,12.5001,7.72694,11.43502
"SYCP3",7.42476,8.54602,2.25388,2.65326,7.96954,5.86898,2.92402,5.95226,8.8317,7.91184,6.2367,6.74506,4.2358,4.05518,6.97332,7.36844,3.31974,6.8089,8.84536,8.89128,5.02176,9.4312,3.17488,6.96548,5.81924,7.44094,1.91292,7.4891,8.5203,5.23156,3.32472,7.65482,7.63192,7.35716,8.3428,1.31366,4.40224,7.3573,5.42244,5.91332
"FOXD3",9.63336,12.15452,12.87648,14.24626,13.88354,7.53718,14.22222,10.50376,8.7598,10.90034,12.0274,12.04416,11.2536,8.74618,6.36262,12.54704,15.48494,12.2037,9.58026,11.06578,7.63076,12.4583,14.59408,10.48238,15.21354,9.54364,14.56182,13.9933,12.9182,7.68756,6.96442,10.10972,11.29112,9.75136,11.763,13.40366,11.94804,13.5478,10.55584,9.83592
"GATA6",5.91646,3.75322,7.59748,8.64656,2.96034,8.11998,7.88982,7.50996,4.02,6.04274,1.0542,2.61716,2.6172,4.81888,5.09222,2.02664,8.64024,10.6519,0.41596,1.58528,6.96276,2.6388,6.99158,7.46768,12.01344,2.86944,8.62452,2.7164,5.134,5.18136,4.97562,2.70382,4.90812,8.75386,2.2332,6.03156,1.63884,5.2853,6.56374,3.54842
"GBX2",4.58316,13.09292,5.47108,6.76016,13.30164,6.52968,5.86132,4.63136,9.2652,6.60444,10.0348,8.60786,11.2655,6.40788,6.27352,10.16504,7.44634,12.2037,7.85066,8.22608,7.29836,13.4227,8.35268,8.20438,7.55664,9.38954,7.42272,11.2393,8.9801,11.94456,5.25402,12.54302,4.17072,5.47716,9.0516,4.47316,10.62754,9.0442,9.49194,11.61652
"NANOG",9.20266,7.74912,7.71378,-0.45944,8.43844,7.61038,9.26452,6.99346,10.364,7.43994,7.3327,7.36216,6.282,3.19178,6.36102,5.53124,1.54394,10.1967,9.38356,10.79688,6.82906,9.7161,9.60408,7.54548,8.29284,7.83974,-2.05318,8.4475,8.2078,4.42066,7.71742,9.34192,9.42372,7.25986,10.2492,0.33746,5.98934,7.3614,7.08024,8.38642
"NR5A2",9.55506,6.49862,4.66148,7.79956,7.62324,6.51218,7.13812,6.82196,8.4977,7.11154,4.3199,4.75856,7.361,6.74618,7.73552,6.93084,7.57284,11.1873,6.48136,8.06708,6.91656,8.2608,8.66168,7.68618,9.23444,8.67734,5.79312,6.7244,6.0235,6.77646,7.30352,9.03782,9.38322,7.80806,6.4087,5.74186,2.03884,6.7396,7.85364,6.89512
"NR6A1",7.28706,8.12872,2.82958,2.94146,11.37544,8.59238,2.64032,6.98506,9.8933,5.34234,2.5449,2.60246,5.6417,5.99908,5.26842,5.54994,3.68494,10.3454,2.54056,4.73418,7.59246,4.4365,4.02328,8.38838,8.46834,3.88744,2.08572,9.8316,8.9405,6.59956,4.82282,3.94982,8.56152,7.37366,2.6062,2.64396,4.87394,7.5669,7.38464,8.68392
"POU5F1",6.96906,6.89472,-0.05742,0.07766,7.35454,6.32388,0.85602,5.87926,6.0264,4.90624,3.882,5.53486,2.9436,1.28178,4.33122,4.53244,0.62804,4.6498,5.59816,7.44388,4.67306,6.7934,-0.27062,6.13088,6.48354,6.17554,-1.14648,6.5598,6.2731,4.45896,1.46242,6.09732,6.83412,5.97056,6.4611,-1.31694,4.16514,6.2397,5.33364,5.19152
"SOX2",1.38576,11.79782,13.64448,14.08256,7.94444,2.14498,12.14212,-0.16674,6.2719,0.91874,8.0154,3.65366,9.3689,4.28588,2.78642,4.76524,11.28904,10.7965,10.05036,14.14718,2.66706,13.4227,14.45918,1.99218,1.19434,13.04104,12.64972,6.374,4.61,8.86236,3.74772,14.09572,1.92222,2.45366,10.2784,13.10266,10.03104,2.6818,3.32994,10.31532
