"","SP09-1935 JA","SP01-1399 JA","SP10-1808 JA","T002235 FFPE","SP01-2474/2 JA","T061117-3 FFPE","T001803 FFPE","SP10-2529 JA","SP09-00448 JA","SP01-1096 JA","T100080-4 FFPE","T022833 FFPE","SP04-1732 JA","SP00-5875 JA","T960067 FFPE","T022120 FFPE","T061532-2 FFPE","SP10-1007 JA","T080803-6 FFPE","95-11-P018 SN1 BSDNA","95-11-P018 SP1 BSDNA","93-10-3403 SP3","96-04-P033 SP1","T010889 BSDNA","T980548-1 BSDNA","95-08-P248","T090396-2 BSDNA","95-04-P093","95-06-P073","T990-515-1 BSDNA","95-07-P029 SP1 BSDNA","96-02-P402 BSDNA","96-04-P009 SP5","94-09-2902 SP1","95-08-P418","93-05-6301 SP3","95-08-P250","T021134-1 BSDNA","95-01-P045","95-01-5401 SP1 BSDNA","95-08-P358","95-08-P243","T00203P-2 BSDNA","95-10-P864 BSDNA","94-03-1902 SP2 BSDNA","96-02-P046","95-07-P004","95-08-P043 BSDNA","94-12-P065 BSDNA","T030486-1 BSDNA","T012369-1 BSDNA","T001585-1 BSDNA","95-01-5401 SN1 BSDNA","T000086-1 BSDNA","93-05-6301 SN2","T030521-1 BSDNA","T002020-1 BSDNA","T010722-4 BSDNA","T020949 BSDNA","94-06-3702 SN1 BSDNA","95-09-P113","95-12-A091","94-11-P036","96-02-P050 SP1","95-12-P310 SP1 BSDNA","96-02-P004 SP2 BSDNA","96-02-P012 SP1","95-08-P340 BSDNA ","95-12-P310 SN1","94-04-1903 SP1","96-04-P017 SP1","95-08-P284","95-10-P044 SP2 BSDNA","96-04-P029 SP1","94-11-P037 BSDNA","96-06-G032 SP1","95-08-P318 BSDNA","94-11-V046","94-08-P018 BSDNA","94-09-P003 BSDNA","94-03-1902 SN2","95-11-P306 SP1","95-08-P313 BSDNA","95-08-P271","91-04-A132","95-09-P067","94-10-P003 SP1","95-05-G051 SP1","96-02-P067 SP3","95-08-P415 BSDNA","95-05-G051 SN1","96-04-P023 SP BSDNA","T020755","T001798 Frozen","T010164","T012619","T021211","T000966 Rep","T022614","T000966","T980907","T010736","T980805","T012688","T970159"
"AATK_E63_R",0.7861949,0.8115013,0.7897855,0.4813511,0.6201226,0.8418791,0.737559,0.7337337,0.7220491,0.7100085,0.6174003,0.8254338,0.5087137,0.8192822,0.6961794,0.6973215,0.7748938,0.8231943,0.848326,0.523495,0.5176879,0.6582208,0.8630764,0.158536,0.7788814,0.8511721,0.7351115,0.6345186,0.5953323,0.7495112,0.7130389,0.8375787,0.7437246,0.7620568,0.7711167,0.7011971,0.843312,0.7673942,0.8994117,0.8985007,0.8760361,0.8671789,0.7877744,0.8397305,0.8726354,0.8608308,0.8773962,0.8779189,0.8528356,0.8292066,0.8981615,0.9095401,0.8670977,0.8113532,0.7860067,0.8409314,0.8475043,0.8549473,0.919062,0.6405783,0.8842827,0.8945724,0.869345,0.8397047,0.8597332,0.8566754,0.793044,0.8583175,0.8650941,0.8366792,0.8626103,0.8947723,0.8184719,0.8460721,0.92261,0.8087165,0.8809701,0.744967,0.8046671,0.7782449,0.8542334,0.8903435,0.8419082,0.8928579,0.8296236,0.8631141,0.9035443,0.8839446,0.852899,0.7759241,0.3979731,0.8715302,0.7056669,0.8245027,0.8418387,0.5960854,0.8024611,0.8071092,0.8128658,0.87111,0.8253278,0.7658297,0.8879584,0.9052306,0.8167628
"AATK_P519_R",0.7679157,0.7966683,0.8096063,0.5744605,0.7024745,0.851475,0.7493283,0.7139737,0.6968398,0.8129047,0.7465338,0.7734312,0.5460024,0.4303194,0.7717596,0.6163456,0.8111668,0.7870507,0.8557683,0.2585524,0.4071929,0.6336294,0.2701912,0.09717287,0.465184,0.8109076,0.2068073,0.1590565,0.1447831,0.23606,0.5172454,0.7858371,0.359422,0.7283707,0.7042496,0.5032027,0.8054208,0.3535604,0.8034057,0.8828003,0.8488287,0.8345815,0.5097191,0.8371032,0.8684503,0.8028378,0.5818325,0.1656978,0.4994907,0.3980953,0.3494687,0.7641976,0.6021128,0.363198,0.390765,0.4573147,0.5292257,0.4592197,0.9000955,0.5639766,0.3227336,0.813982,0.6433894,0.606672,0.7971365,0.3475964,0.7288496,0.8656335,0.601024,0.4317742,0.8088168,0.4473552,0.8436868,0.736375,0.7900933,0.7189649,0.7322527,0.411006,0.7572228,0.6973921,0.6106157,0.7756041,0.5613289,0.8426918,0.3638357,0.6466026,0.480347,0.7581851,0.7509398,0.3071285,0.1895098,0.8543845,0.7431511,0.7548862,0.644784,0.4287418,0.4677356,0.7657065,0.7834887,0.7810336,0.7287177,0.6126586,0.9008438,0.9115341,0.2641071
"AATK_P709_R",0.6280658,0.6069,0.5887108,0.1551817,0.5256876,0.7532306,0.5393171,0.3983505,0.6153243,0.7010628,0.5123116,0.6856856,0.2918063,0.2954704,0.645379,0.4878172,0.7998838,0.5825144,0.7941757,0.1427014,0.3532919,0.492007,0.3680126,0.04438948,0.3229959,0.6461502,0.1853465,0.1841603,0.1449513,0.2165625,0.4932256,0.672478,0.3002363,0.6162762,0.6313199,0.42105,0.6582846,0.2296659,0.718966,0.7881895,0.7530339,0.6904544,0.317308,0.7001525,0.776758,0.7590676,0.4040905,0.153248,0.3220099,0.2693103,0.2968891,0.6772175,0.4110455,0.2249298,0.1915053,0.4517736,0.3776933,0.4728009,0.8314661,0.509056,0.3152739,0.761968,0.4589477,0.4150395,0.7177745,0.2956465,0.5189582,0.6897383,0.5683913,0.3533363,0.7217587,0.2875835,0.7452244,0.5603129,0.7277117,0.5899505,0.6215979,0.3523655,0.4970624,0.4283102,0.4395855,0.7616583,0.7697173,0.7475878,0.1970045,0.4805847,0.3496504,0.6527984,0.6944903,0.2513848,0.07812639,0.7588497,0.5149148,0.6857386,0.5186117,0.3299653,0.3255633,0.5655142,0.6056498,0.6157116,0.5732421,0.4113233,0.8019454,0.8283007,0.203555
"ABCA1_E120_R",0.05757532,0.05568328,0.06991734,0.07172804,0.0620373,0.08198283,0.0865494,0.0474379,0.09079772,0.05794543,0.08107934,0.0858673,0.05451801,0.101766,0.06731155,0.1005757,0.05084949,0.08275199,0.07651152,0.02895694,0.05549101,0.0540339,0.05645051,0.1503238,0.04806522,0.04715196,0.03956798,0.03461582,0.0388138,0.04092309,0.02516386,0.05919312,0.06602009,0.08698937,0.106915,0.07730763,0.07592123,0.05581222,0.06127581,0.06821261,0.0735862,0.0531267,0.03789149,0.0546901,0.0816297,0.07767566,0.07449396,0.06597116,0.06103086,0.05683031,0.05559827,0.0556821,0.07515044,0.04130461,0.04020634,0.05617453,0.05677694,0.0581625,0.0719982,0.07903801,0.0656541,0.06651618,0.05605905,0.06507787,0.0588097,0.04031172,0.04186191,0.06953456,0.0597278,0.07187063,0.06421989,0.06291048,0.08301894,0.05551088,0.06246594,0.06603456,0.04333013,0.02927106,0.05075921,0.07286641,0.06595752,0.05932393,0.0529824,0.07502089,0.07424887,0.05455461,0.06550264,0.05620536,0.04496581,0.03896666,0.03969554,0.07029904,0.05006423,0.06215775,0.07673163,0.04381663,0.06535928,0.07483535,0.08298758,0.08494846,0.07347389,0.07541774,0.07288074,0.0871473,0.06745929
"ABCA1_P45_F",0.04921972,0.06314502,0.062286,0.06584939,0.04470246,0.07219569,0.0882016,0.05219278,0.07679018,0.05421565,0.09159382,0.09645214,0.05872453,0.1019547,0.06841281,0.09728042,0.06478447,0.08293797,0.2222028,0.03191909,0.06659395,0.0735674,0.06084838,0.13065,0.04363758,0.04802021,0.05041329,0.03963075,0.03480344,0.04033536,0.02789592,0.04385241,0.07931627,0.1021449,0.08081799,0.1302215,0.1064435,0.0709441,0.08272497,0.09152101,0.07633043,0.06104562,0.03902836,0.05125148,0.09864014,0.08296365,0.08830933,0.07956167,0.07405184,0.06579562,0.0791577,0.07428465,0.07883979,0.04665364,0.04784123,0.064565,0.07784649,0.07558394,0.07167014,0.07000782,0.08807221,0.0781734,0.08720366,0.07208997,0.09374106,0.05594976,0.04158098,0.07070629,0.0908286,0.08870614,0.07318861,0.0680084,0.09956133,0.07590163,0.07695563,0.06907672,0.04757882,0.03728781,0.05540633,0.1055031,0.05957887,0.08152362,0.06879836,0.08799007,0.09680186,0.06113066,0.07552864,0.08683243,0.05522109,0.04059817,0.05074986,0.06445759,0.08084881,0.06245991,0.08907376,0.05098549,0.08846225,0.08956173,0.089322,0.1001461,0.06232686,0.09255095,0.09353199,0.08556697,0.09246723
"ABCB4_E429_F",0.6594611,0.7870761,0.7212282,0.5997093,0.6762047,0.8283085,0.8373793,0.7381142,0.8209996,0.7806606,0.7603783,0.8420004,0.6207424,0.8210484,0.7919466,0.8372472,0.7375842,0.8236217,0.8060095,0.8243787,0.751165,0.808231,0.8956966,0.2262624,0.752005,0.8672238,0.8828695,0.7858166,0.7156879,0.8675313,0.7640036,0.8538972,0.8464031,0.8886695,0.8939112,0.8482209,0.8435104,0.9153481,0.9142295,0.8407779,0.8803166,0.8919184,0.8218932,0.839941,0.8894698,0.9062743,0.8984069,0.9140191,0.877027,0.8971175,0.9206903,0.9145198,0.887547,0.8862282,0.8785717,0.8809572,0.918856,0.9245213,0.9154807,0.9192315,0.8901775,0.9121171,0.8968449,0.8776175,0.8687975,0.8647044,0.8255365,0.9036311,0.9016432,0.9125085,0.8712338,0.9063962,0.8546779,0.8968099,0.9064127,0.8892295,0.8828039,0.7991684,0.855602,0.8923946,0.865701,0.8958337,0.7761474,0.8959857,0.9257898,0.9005781,0.9173176,0.8545496,0.8887577,0.8854753,0.7647954,0.9210412,0.6491436,0.8736247,0.8991017,0.7468989,0.8730509,0.7379467,0.8529763,0.822733,0.8338522,0.8409448,0.8472493,0.87553,0.8602274
"ABCB4_P51_F",0.7650444,0.8125625,0.7118152,0.531603,0.6639108,0.8525809,0.7797605,0.7454349,0.7309726,0.7557755,0.6927052,0.8364719,0.499522,0.8123975,0.4910521,0.7618061,0.7523428,0.837169,0.8101498,0.7713345,0.6773264,0.7062709,0.8924506,0.2519499,0.8194861,0.8418894,0.8480723,0.7450917,0.6864522,0.8111328,0.6927341,0.8298901,0.7910314,0.7851476,0.8362167,0.7690884,0.8196693,0.868475,0.8552276,0.8058025,0.8390637,0.8932628,0.8661324,0.8288611,0.8481798,0.8679916,0.8567373,0.856006,0.8297644,0.8853418,0.9011016,0.8988414,0.846682,0.8347233,0.8429386,0.8764524,0.9040449,0.87611,0.8701882,0.8756857,0.870699,0.8902947,0.865284,0.789857,0.8028047,0.8286713,0.7912288,0.850723,0.8469614,0.8697832,0.8696927,0.8933823,0.8279667,0.8289821,0.8833641,0.82959,0.8139671,0.636823,0.7690288,0.8278565,0.8500153,0.8763607,0.8992187,0.8449764,0.837876,0.8885152,0.8712566,0.8029746,0.7845339,0.845386,0.7031218,0.8684889,0.70526,0.8313482,0.8784352,0.7947658,0.8378699,0.8252259,0.8288486,0.828237,0.8331555,0.8269954,0.8443266,0.8642544,0.8395547
"ABCB4_P892_F",0.7178094,0.798981,0.7438779,0.6256612,0.6713569,0.8086693,0.7849014,0.6587207,0.7128972,0.1056614,0.7271127,0.8214649,0.3148003,0.771237,0.7219903,0.733086,0.7852886,0.8317172,0.841985,0.6889614,0.5994609,0.6370297,0.8463947,0.218855,0.7497002,0.7901708,0.7983088,0.7189381,0.08917502,0.7501983,0.07703938,0.8012772,0.719501,0.7938639,0.8132102,0.733723,0.7467059,0.861324,0.8023223,0.7175254,0.7593997,0.8422027,0.7742057,0.7679214,0.8376902,0.8138058,0.8480082,0.8210137,0.8094765,0.8078236,0.2479664,0.2897628,0.8584761,0.8299062,0.7979186,0.8464832,0.7903551,0.8603827,0.8926654,0.2042291,0.8295121,0.8149751,0.853287,0.7897219,0.766753,0.7532606,0.7757887,0.8042981,0.8551347,0.8282089,0.8207189,0.8460029,0.2503303,0.8712787,0.8201106,0.793005,0.2033253,0.606941,0.7209672,0.785694,0.8403702,0.8329233,0.501265,0.8177627,0.7703384,0.8557775,0.8479868,0.7866403,0.7348696,0.7764398,0.5860554,0.8778194,0.7879955,0.7723047,0.8549147,0.7758591,0.8752701,0.8236353,0.795118,0.8708851,0.8557494,0.8242248,0.849497,0.8631791,0.7975248
"ABCC2_E16_R",0.7086304,0.7221853,0.7160261,0.7363451,0.7683532,0.8456014,0.8673983,0.8058589,0.8559222,0.7346553,0.8056254,0.8844292,0.5881976,0.8121766,0.8232782,0.6816548,0.7666667,0.894234,0.828417,0.8507882,0.7241751,0.757588,0.8791633,0.3057042,0.8123863,0.2301062,0.863333,0.7669196,0.8298954,0.82724,0.7943473,0.8802904,0.7941892,0.8365223,0.8812078,0.8078352,0.8592062,0.9428346,0.8603494,0.6016573,0.9044447,0.4069797,0.8399112,0.8954265,0.7806171,0.8579502,0.8802822,0.8397467,0.8848799,0.9077156,0.9150274,0.9044492,0.8223086,0.8762785,0.7876589,0.8721523,0.8968238,0.8476679,0.8744439,0.8984941,0.9055912,0.9058294,0.8652819,0.8532337,0.8255658,0.7949144,0.7767789,0.8896915,0.8775421,0.3750299,0.8574188,0.8983198,0.8753184,0.8091553,0.8900173,0.2906113,0.7986146,0.7520919,0.8252978,0.8312483,0.8610828,0.2911817,0.3014184,0.8495395,0.8972528,0.8675743,0.412697,0.8576319,0.8485758,0.8056072,0.7922665,0.886649,0.8302939,0.8213053,0.8581166,0.8153169,0.3088815,0.8614603,0.8720058,0.8499728,0.8721437,0.8831944,0.881896,0.9115422,0.8785768
"ABCC2_P88_F",0.5442467,0.533271,0.3806606,0.6770594,0.7428103,0.8243358,0.8387128,0.6947359,0.8040825,0.2248657,0.7590936,0.7183772,0.6759038,0.73452,0.8522748,0.805142,0.7308224,0.8213663,0.7933734,0.8272083,0.6962813,0.7407617,0.9082412,0.2871643,0.8486477,0.9123213,0.8892181,0.8237469,0.7132407,0.8691738,0.7352883,0.6182895,0.7893413,0.8633344,0.8694465,0.8080529,0.6365862,0.8838422,0.5843087,0.8376766,0.5241364,0.9262161,0.8626711,0.7374632,0.9033642,0.6471466,0.8928851,0.8888223,0.8777344,0.895543,0.9146879,0.9142646,0.8791978,0.8941355,0.8736403,0.880194,0.8928809,0.9006775,0.9309518,0.9120162,0.8856983,0.887902,0.8924033,0.8715229,0.4429182,0.8709804,0.8126466,0.7936667,0.8947868,0.8810933,0.7725669,0.8769003,0.8495063,0.8646652,0.906869,0.8878782,0.8528168,0.6182157,0.8229701,0.8939182,0.8703293,0.8771883,0.9243705,0.8517971,0.8864586,0.8840169,0.8977261,0.8786938,0.810693,0.8587137,0.7102737,0.9037739,0.7567503,0.7849384,0.871488,0.7818068,0.8689848,0.8486052,0.8899897,0.8697655,0.8618069,0.8835956,0.7925863,0.9155863,0.8754415
