"","91-04-A132","93-05-6301 SN2","93-05-6301 SP3","93-10-3403 SP3","94-03-1902 SN2","94-04-1903 SP1","94-09-2902 SP1","94-10-P003 SP1","94-11-P036","94-11-V046","95-01-P045","95-04-P093","95-05-G051 SN1","95-05-G051 SP1","95-06-P073","95-07-P004","95-08-P243","95-08-P248","95-08-P250","95-08-P271","95-08-P284","95-08-P358","95-08-P418","95-09-P067","95-09-P113","95-10-P864 SP1","95-11-P018 SP2","95-11-P306 SP1","95-12-A091","95-12-P310 SN1","96-02-P012 SP1","96-02-P046","96-02-P050 SP1","96-02-P067 SP3","96-02-P402 SP1","96-04-P009 SP5","96-04-P017 SP1","96-04-P029 SP1","96-04-P033 SP1","96-06-G032 SP1"
"hsa_miR_125b",3875.1,667.4,423.8,4158.5,3398.1,3959.6,1042.1,1283.4,3587.6,291.6,208.8,4318.2,4960.3,2789.2,5343,4048.1,757.8,1528.2,25.2,132.7,5294.8,118.9,726.4,5550.3,758.1,309.5,624.1,3508,6915.8,2603.9,2130.1,566.1,4315.8,8855.2,757.7,996.8,1465,1534.2,6654.3,4860.9
"hsa_let_7a",1870.2,328.4,620.5,1130.7,1585.1,993.5,1317.5,386,2321.8,180.2,297.7,1462.1,2241.4,855.3,965.3,1232.1,598.6,667.4,376.2,276.5,1353.6,155.3,1364.3,1543.3,635.1,389.3,371.8,1141.2,1104.2,1108.1,1192,554.9,1962.3,799.1,1744.9,1032.3,3467.7,604.6,3057.1,2795.2
"hsa_let_7b",1558.5,2039.5,667.1,2750.5,5054.2,3881.3,883.5,1248.2,3786.1,148.4,550.1,889.2,2489,959.7,296.5,868.9,744.8,647.1,276.3,518.7,1570.7,268.5,1234.2,3008.1,421,523.7,323.7,2225.6,1470.4,2062.6,1662.8,322.7,2610.4,431.4,1087.2,830.3,2464.1,1921,1650,5081.9
"hsa_miR_92a",2059.4,788.4,2043.8,749.9,577.5,1099.2,2398.8,579.6,1072.5,275.7,2803.9,1498.1,1689.8,1143.2,2201.4,2246.1,2875.9,1325.2,1188.6,904.7,854.8,2424.9,2632.5,972.5,3004.3,2198.9,4486.8,1439.8,890.1,618.9,1655.7,1375.8,1235.4,1269.8,2431.7,1926.3,658,567,930.5,655.2
"hsa_miR_181a",885.5,175,266,778.7,323,476.6,571.1,271.6,669.2,331.4,404.3,829.7,586.6,731.7,3241.8,838.9,520.1,4317.4,302,215.9,1720.6,122.9,228.8,847.7,275.2,382.4,139.5,745.1,672.3,330.2,388.4,205.2,907.8,1371.3,537,216.1,2653.6,346.7,2919.1,458.1
"hsa_miR_720",1342.7,239.6,3777.6,742.7,553.1,1690.5,1426.5,1424.2,239.3,1,1424.6,248.9,966.2,2401.9,442.4,572,1844.1,1434.8,1769.5,950.1,1737.4,1106,948.4,414.5,1951.8,2098.6,752.2,305.1,413.2,193.8,1618.6,2834.6,819.2,487.6,1189.1,3732,531.4,824.9,244.6,183.9
"hsa_let_7c",1652.7,489.8,172.8,1694.6,1002.9,813.4,170.1,650,463.1,379.1,105.7,1182.1,914.7,782.6,941.8,602,140.5,269.6,23.7,223.5,964.7,66.3,274.7,1090,104.3,45.1,117.5,1125.4,1506,911.7,384.9,87.6,1333.8,1297.2,271,228.3,434.1,738.9,1530.9,1371.3
"hsa_let_7d",749.4,255.7,284.1,688.9,765.8,445.3,581.8,386,970.1,212,294.1,1278,1052.2,474.3,620,685.7,629.1,505,302,443,641.6,199.8,665.1,893.6,361.7,387,175.5,987.1,807.5,630.9,646.8,384.2,709.6,473.9,589.2,348.5,1471.4,550.9,688.6,801.9
"hsa_miR_603",132.4,2515.7,892.2,911.6,894.8,772.3,323.9,2224.8,522.5,3346.7,1250.4,127.7,241.3,671.8,70.3,646.2,563.7,659.3,364.1,2622.8,402.6,2040.5,759.6,702.7,705.7,865.6,664.1,990.3,563.4,1789.9,722.9,291.9,431.2,561.7,203.8,338.9,203.3,1974.8,29.2,324.2
"hsa_miR_25",377.3,70.1,395.3,110.6,120.8,102.7,1233.8,69.3,265.8,148.4,390.1,404.4,158.1,276.9,471.5,398.2,1573.6,456.3,648.5,163,123.4,454.6,1440.9,153.8,744.4,377.9,948.5,330.2,232.9,246,386.6,501.8,179.5,188.5,226.8,826.2,231.2,56.5,152.1,131.7
"ebv_miR_BART16",45.5,1434.1,325.5,602.7,455.5,382.7,178.9,1433,257,2169.2,987.3,58.6,73.5,404.3,55.6,243.5,317.2,472.6,184,1563.2,328.9,822.8,450.8,339.2,361.7,273,245.6,358.5,272.4,919.7,390.2,133.3,199.2,314.7,68.3,188.8,97.7,878.6,7.8,167.4
"hsa_miR_371_3p",1,86.2,819.7,53.1,47.5,22.4,1511.2,86.9,4.1,124.5,134.2,276.2,1,382.6,1,115.5,1375.1,46.3,1412.5,397.6,1,228.1,846.3,5.2,1676.2,1166.5,2498.4,25.3,9.5,53.5,668.1,1375.8,6.6,4.6,660.7,992.7,1,51.2,1,29
"hsa_miR_373",1,29.7,969.8,1,1,12.6,1922.9,51.7,1,1,119.9,315.1,1,251.4,1,36.6,1429.7,5.7,839.1,125.1,1,454.6,706,7,1810.6,838.3,3039,1,1,1,868.1,1063.3,1,1,1158.7,1232.9,1,18.9,1,20.7
"hsa_miR_1260",366.6,45.9,397.9,128.6,138.2,337.6,621.7,201.3,109,1,383,131,204.8,1106.2,222.3,510.4,480.8,395.4,317.2,117.5,915.6,333.3,356.4,166.7,181.8,1041.1,217.6,103.9,176.6,105.6,1179.6,1054.9,266.7,207.7,409,318.4,506.6,94.1,130.2,183.9
"hsa_miR_15b",495.5,102.4,185.7,63.9,99.8,83.1,601.2,95.7,522.5,148.4,343.9,682.4,137.4,261.6,708.5,564.1,356.5,590.3,491.1,178.1,95,410.1,310.5,210.7,288.8,409.8,215.6,430.8,270.5,129.7,195.5,486.8,238.6,167.9,465.5,299.3,235,94.1,171.1,114.2
"hsa_miR_125a_5p",336.2,62,322.9,117.8,207.9,253.4,326.8,130.9,302.5,1,397.2,313.4,327.3,262.9,479.9,636.7,461.2,1.6,197.6,117.5,230.7,94.6,415.1,264,443.7,544.3,588,229.6,255.5,97.6,243.3,328.3,247,420.4,479.2,352.5,163.2,147.9,349.8,130.8
"hsa_miR_302a",1,13.6,74.5,6.4,1,1,107.8,51.7,1,84.7,806,734.1,1,64.1,66.6,23.9,123.1,30,3147.7,155.4,1,729.7,114,3.3,152.2,578.4,307.7,6.4,1,17.4,227.3,804.9,1,1,1247.6,332.1,1,29.7,1,1
"hsa_let_7g",389.7,62,97.7,211.2,180,90.9,362.8,42.9,331.6,52.9,66.6,467.3,660.2,155.8,286,188.2,273.6,229,143.2,57,255.2,37.9,415.1,170.4,234.2,24.6,79.4,198.2,165.3,205.9,337.1,77.4,418.5,165.2,299.6,134.2,572.1,115.6,469.2,272.9
"hsa_miR_1274a",322.9,62,1686.6,63.9,12.7,186.9,357,201.3,45.8,1,109.3,12.7,149.1,889.6,143.8,129.8,555,9.7,1174.9,185.7,375.4,171.4,552.9,30.9,954,708.4,235.6,37.9,56.4,61.5,475.1,1622.9,55.8,44.4,253,1504.5,22.6,94.1,33.4,28.1
"hsa_miR_23a",236.5,110.4,108.1,56.7,194,265.2,228.5,157.3,578.1,164.3,105.7,481.4,189.7,320.2,302.9,275.1,175.4,74.7,244.5,155.4,201,122.9,116.5,454.9,156.7,216.1,71.4,270.5,544.6,378.3,269.8,181.8,254.1,119.9,227.5,108.2,378.8,287.6,53.6,258.2
"hsa_miR_1975",29.3,29.7,74.5,6.4,37.1,139.9,69.9,60.5,21.8,1,176.8,14,57.6,28.4,1,68.2,75.1,123.4,170.4,34.3,13.6,114.8,177.8,32.7,108.9,213.8,9.3,66.2,208.5,61.5,137.1,165.1,23.5,23.8,112.5,14.1,2.3,78,1,69.3
"hsa_miR_1274b",459.1,110.4,1368.3,74.7,61.5,251.5,216.8,315.6,73.6,1,215.9,35.9,228.2,656.5,186.6,162.9,448.1,58.4,678.7,314.3,544.7,147.2,262,80.4,464.2,674.2,139.5,66.2,105.2,93.6,368.9,891.7,106.4,91.1,87.6,1030.9,65.9,94.1,70.4,60.2
"hsa_miR_9",427,13.6,20.1,114.2,1,40,8.5,51.7,1,1,13.3,65.3,1,1,345.7,1,1,1,31.2,11.6,260.4,21.8,4.3,87.8,15.5,20,13.3,1,9.5,21.4,1,1,622.4,247.5,1,1,1,35,926.5,1
"hsa_miR_126",59.2,118.5,100.3,74.7,110.3,73.3,185.7,157.3,130.5,1,187.5,380.5,138.8,62.8,221.8,134.5,177.6,50.3,814.9,208.4,66.6,94.6,119.1,130,92.9,79.3,167.5,91.3,99.6,117.6,147.7,239.7,91,49.9,826.7,149.2,141.6,147.9,90.2,86.7
"hsa_miR_375",1,5.5,1,13.6,5.7,1,1,34.1,1,1,365.2,90.9,47.3,1,1,60.3,1,1,258.2,79.7,1,317.1,4.3,1,1,1013.8,1,9.6,15.1,13.4,1,570.8,1,1,680,1,1823.1,13.5,1,1
"hsa_let_7e",158.1,207.3,105.5,211.2,298.6,376.8,48.5,51.7,202.6,188.2,144.8,226.2,297,169.8,287,215,112.2,1,26.7,147.8,148,62.2,195.6,177.7,67.9,56.5,75.4,273.6,223.5,125.7,126.4,38.2,249.8,257.1,92.6,105.5,110.4,196.2,145.6,77.6
"hsa_miR_145",106.3,94.3,58.9,20.8,176.5,51.8,130.2,51.7,813.3,108.6,80.8,178.2,443.5,61.6,27.3,205.6,31.5,66.6,23.7,72.1,21.4,58.2,57.8,89.6,38.3,67.9,33.4,78.7,199.1,221.9,174.2,133.3,79.7,37.6,289,115.1,286.6,67.3,23.9,342.6
"hsa_miR_423_5p",122.2,312.2,136.6,229.1,340.4,333.7,174,210.1,196.3,1,151.9,62,112,248.8,78.3,104.5,92.5,147.8,60,178.1,84.7,458.7,137,93.3,152.2,159.1,93.4,349.1,206.6,250,98.1,59.7,245.6,128.1,37.2,72.7,80.5,330.6,25.9,80.3
